Details for patient C0012d, combinations ordered by fitness (best to worst):

1. Fitness: 0.897322, Average: 0.725614, Chromosome: [1, 1, 1, 1, 1, 1, 0]
2. Fitness: 0.897304, Average: 0.724168, Chromosome: [1, 0, 1, 1, 1, 1, 0]
3. Fitness: 0.897068, Average: 0.726615, Chromosome: [1, 1, 1, 1, 1, 1, 1]
4. Fitness: 0.897050, Average: 0.725325, Chromosome: [1, 0, 1, 1, 1, 1, 1]
5. Fitness: 0.896538, Average: 0.722944, Chromosome: [1, 1, 0, 1, 1, 1, 0]
6. Fitness: 0.895909, Average: 0.723997, Chromosome: [1, 1, 0, 1, 1, 1, 1]
7. Fitness: 0.895298, Average: 0.682130, Chromosome: [0, 0, 1, 1, 1, 1, 1]
8. Fitness: 0.895228, Average: 0.624346, Chromosome: [0, 0, 0, 1, 1, 1, 1]
9. Fitness: 0.894883, Average: 0.729871, Chromosome: [1, 1, 1, 1, 1, 0, 1]
10. Fitness: 0.894865, Average: 0.728504, Chromosome: [1, 0, 1, 1, 1, 0, 1]
11. Fitness: 0.894798, Average: 0.676382, Chromosome: [0, 0, 1, 1, 1, 1, 0]
12. Fitness: 0.894669, Average: 0.719970, Chromosome: [1, 0, 0, 1, 1, 1, 0]
13. Fitness: 0.894296, Average: 0.721290, Chromosome: [1, 0, 0, 1, 1, 1, 1]
14. Fitness: 0.893705, Average: 0.727229, Chromosome: [1, 1, 0, 1, 1, 0, 1]
15. Fitness: 0.893071, Average: 0.683189, Chromosome: [0, 0, 1, 1, 1, 0, 1]
16. Fitness: 0.892717, Average: 0.724877, Chromosome: [1, 1, 1, 0, 1, 1, 0]
17. Fitness: 0.892698, Average: 0.724142, Chromosome: [1, 0, 1, 0, 1, 1, 0]
18. Fitness: 0.892667, Average: 0.725479, Chromosome: [1, 1, 1, 0, 1, 1, 1]
19. Fitness: 0.892649, Average: 0.724823, Chromosome: [1, 0, 1, 0, 1, 1, 1]
